post_text,stars
мо родител помеш учеб школ должн вып сним симпт идт мороз родител выпуск дет дом школ бед приход сидет куртк равн должн идт поступл универ измен надоел месяц получ работ мечт родител сиж универ должн выуч учеб угроз зарплат должн позвол снят квартир спокойн жит последн месяц посто работ прошл срок сто двум  родител,2591
мо мам пьет никак разговор проч помога лож спат начин удар брат отец дав туп страшн недавн сдал итог слом нос разб губ поста куч синяк рук стыдн вмест хотел плак счаст нач удар якоб остальн дел вид происход понима мысл сдел ,2356
когд отец отказ брос мам старш брат развел продолж жит квартир сканда денег мат пос хлеб отц посто когд брат уеха мат привел дом издев жил матер комнат кажд ноч метр могл спат выгн урод дом съех хорош работ муж просып четк жела умерет жив хочет нрав сил уход поговор хож пью таблетк толк ,2930
вчер прин одн трудн реш жизн мо стал собак кот половин последн месяц тяжел болел зуб понима укол быстр смерт недел голодн смерт легч  сердц,1866
свадьб вмест хотел переех ко влюбл скор прошл женат постел вообщ отличн хозяйств полн нол быв уст работ жен приход дом вынужд готов муж леж дива дела секс обратн ситуац работ час приход дом смотр телевизор интернет бел пожар работ готовл прич ест вечер пад нов ночн рубашк хоч блин спат общ  сошл,2739
месяц прист улиц девушк недел уч одн вуз ход компан намек попрост мо девушк вдво хот пойт кин рестор брат жела им хват вчер девушк полож окончательн эт встреча ,1326
родител муж развел мам увезл квартир деньг мам подум жит сним жил получ ситуац мам сбеж отц город жил съемн квартир экон скоп денег взнос взял ипотек выплат жив муж свекр прежн сним квартир ждет сво жил свал законч врем нов прос денег потрат муж уговарив сдел мам мам квартир тип жалк жалк должн помог сво будущ сын жил одн днем мам экон кажд  невестк,2727
нескольк муж спас практическ рассказыв уступ мест счаст жив некотор соверш чувств любв зат поя мужчин любл хот понима слыш нежн голос чувств ласк рук поцел забыв свет муж ост появл чуд произошл меш мо призн муж оста последн твар стреля,2533
понра коллег нов работ предлож встреча выбр сложн отнош неадекватн котор проблем общ котор поговор короч испуг девушк ум реш перв месяц никак бывш прошл недел улиц пож мам бывш парн мо девушк мам потребов вернут девушк обратн девушк типичн сынок истеричн неудачник девушк интересов летн испуг получ влюб преслед вмест зна ,1413
нашел девочк мечт свадьб уех командировк недел приход ссылк бывш сво друг имеют нача вид котор месяц втор зна поним дел жит разрыв жду страшн сном пристрел,5085
пошел стол забр дорог дом зашел магазин куп ед дом р сумк плеч полож ключ дом пут дом откр прич никт работ вообщ непонятн общ замет итог прова ног сумк паспорт ключ ,3909
девушк встрет добр парн парен догн сраз ,3146
полгод работ уш звон насчет денег мен деньг задержив либ долг либ родител либ оплат нашел небольш заказ недел дел мысл представл рассчит част долг успел сдал сайт получ деньг полож деньг прихож дом рубл дорог лежат ,2917
замуж жив город родител брат собр ним разговор мам девушк нет рассказ недавн случа пришл мам подруг дочер реш доч отрез никт нуж мам реш попрос ним поговор подхож говор сем сторон девушк ,2895
прекрасн работ компа пришл гол мысл поех уч жадн реш дал зада найт напр преподавател квартир месяц сдела прилетел плох разруг хозя квартир котор нашл переех жит дал зада вернут квартир никак объективн причин отказ квартир хозя отказ возвращ деньг итог увол час выплат зарплат месяц компа никт слов директор прекрасн отношен звон хозяйк квартир котор сним вмест сво молод человек должн съех недел денег аренд нов люб отношен попыт поддерж переех родител ,3353
школ поступ сво родн город перв курс поя возможн уех уч вуз уеха отуч платн жил съемн комнат уч параллельн ночн отец последн мечт вернут приех дипл работ специальн берут поиск  потрач впуст,3055
мо парн девушк котор сильн люб расст переех друг люб разговарив ним телефон назв ,-503
встреч парн люб друг друг вед личн дневник попрос измен поэт,1054
месяц расст девушк люб жизн любл найт мест нач пит друг наз увид нач вытаскив котор залез понемног нач радов жизн лучш друз недавн встрет одн девушк подруг мо любв нач вопрос личн жизн девочк ответ посл отказа врод ник отказа предлож дела знал мир куск смысл подруг смысл знал снач брос пред лучш друг  уб близк,1983
увол месяц сред нашел хорош мест работ дом хорош дня зарплат обещ друз съезд дач пар дне конц позвон пятниц сообщ начин понедельник гот врод прошл звон пятниц ответ прин работ человек работ черт найт прин человек ,234
встреч девушк мил интересн хотел предлож съех несмотр сут характер знал придум план узн стол ноутбук вал общ откр скайп включ короч пришел дом нормальн скрыт камер комнат заним дам свободн игр смотр проч спортивн хрен коп комп пришл мужик подум изменя оказ друз вып обсуд личн разошл слов мальчик сиж противн встреч тошн аж  сдела,-2317
сме школ вуз собр сил реш месяц скинул спорт ход поя поп крас мужчин дел счастлив пошл план осмотр врач оказ редк болезн набр вес здор дорож набр кг мужчин оп одинок жирн килл ми плиз,4745
жен дочк вол пах работ зарабатыв отд долгожд отпуск куп сем путевк отъезд покрыв итог жен дочк отдых сиж четырех стен ,1565
однажд встрет улиц симпатичн девушк инвалидн коляск ног случайн оказ ход навещ нрав ощущ отец влюб попрос приход мол плачет мест всяк страшн прост хорош нич единств свет окн хот нормальн друж продолж сложн говор лов родител счит жен надежд глаз  выход виж,4392
работ мелоч никт шел увидел захотел мобильник подошел пок вытаскив телефон потащ хотел резк дернул итог вып карточк успел жалк телефон карточк дел зна бо дум ран поздн сво круг знают последн забр трат ,2591
люб жив вмест жив родител счит ребенк дают общ друз кажд минут лом комнат мен вывод мечт жит ним отдельн усл огромн трехкомнатн квартир центр город интернет горяч вод дом хочет ем родител удобн видет хочет гот провест квартир интернет куп нов мебел горд жит ним мог вечер улыб родител ноч плач ушл жит вдво стро сво мир итог жив скор родител ним ,2873
дне жил рук врод кастрюл ручк ног смотрет ,2631
единств правд люб услыш стольк противн мам люб пис кажд ,-979
хотел айфон коп трех заб пакет метр ,2797
нрав парен хотел ним наст друз говор ревнов никт заста сдела поя дум провер люб реш дух встрет ним сид начин цел ше секунд дум зап дух нач ор говор дум оказ обычн девк ненавиж нач встреча звон ми,-500
раньш друж помир знают об когд разговарив телефон обсужд друг прич буквальн наоборот бо рассказ сво ,-575
