post_text,stars
ну сверш нашел девочк мечт сказк съеха лет свадьб запланирова уеха командировк недел приход ссылк бывш виде там сво друг имеют начал виде бел котор месяц подар втор зна понима дела жит разрыва изнутр жду окажет страшн сном пристрел,5085
пошел паспортн стол забра паспортп дорог дом зашел магазин куп ед дом р сумк плеч полож ключ дом паспортомп пут дом какойт люк открыт прич никт работа вообщ непонятн открылв общ замет итог провал ног отдав хозяйств разр связок сумк продукт паспорт ключ люк бесследн упа пмп господ,3909
девушк встрет красив умн ухожен общительн добр парн успокойт парен догна сраз пмп,3146
полгод работ по уш долг звон насчет денег мен прокля деньг задержива чтонибуд заработа либ долг либ родител либ оплат чтот нашел небольш заказ недел спав дела мысл представля рассчита част долг выдохн успел сдал сайт получ деньг полож деньг бумажник прихож дом рубл дорог лежат испар кто прокля кмп затылок,2917
мне замуж жив город родител брат област собра ним выбра приехала разговор мам ромебрат мо девушк нет рассказа недавн случа пришл мам подруг дочер реш доч ром свест ром отреза сразумн никт нуж мам забеспоко реш попрос ним поговор подхож брат говор сем сторон вопрос ром как девушк нравятсяон отвечаеттак ты отворачива кмп оч прош,2895
у прекрасн работ владельц компан пришл голов мысл поеха кипр уч английск он обеспечен жадн реш сэконом дал задан найт напрям преподавател кипр арендова квартир два месяц мучен сдела он прилетел кипр плох настроен разруга хозяев квартир котор нашл перееха жит отел дал задан вернут предоплат квартир никак объективн причин отказ квартир хозяев отказа возвраща деньг итог увол час выплат зарплат месяц компан никт слов поперек директор прекрасн отношен звон хозяйк квартир котор снима вмест сво молод человек заявля должн съеха недел денег аренд нов любим отношен попыта поддержа перееха родител кмп,3353
школ поступ иняз сво родн город перв курс появ возможн уеха уч вуз заграниц уеха отуч платн отделен жил съемн комнат уч параллельн языкпаха ночн смен отец высыла последн средств учебуникак развлечен приж почемутовсегд мечта вернут росс приеха дипл призналин работ специальн берут поиск пмп потрачен впуст год,3055
мо парн девушк котор сильн люб расста изз перееха друг област тем люб но разговарива ним телефон назва имен пмп,-503
встреча парн люб друг друг узна вед личн дневник попрос прочита дал бд изменя поэт да пмпя раз измен,1054
два месяц расста девушк люб жизн любл не найт мест тоск нача пит балова наркот и друг назов миш увид так нача вытаскива жоп котор залез понемног нача радова жизн поня продолжа а миш близк стал лучш друз но недавн встрет одн девушк подруг мо любв удержа нача расспрашива на вопрос личн жизн девочк ответ посл миш отказа врод ник миш отказа ну предложен дела знал мир куск разлетел я мог повер смысл отрица очевидн е подруг смысл врат знал снача брос любимаяпот преда лучш друг кмп уб близк,1983
увол месяц сред нашел хорош мест работ дом хорош распорядок дня зарплат устраиваетн обеща друз съезд дач пар дне конц собеседован позвон пятниц сообщ начина сотруднича понедельник гот нача врод прошл звон пятниц соглас а ответ приня работ человек работа денькак как черт четверг найт приня человек кмп,234
встреча девушк мил спокойн симпатичн стал интересн хотел предлож съеха несмотр сут характер знал придума хитр план узна побольш у стол ноутбук валя стар в общ подключ вебк интернетик откр скайп включ виде короч пришел дом нормальн съемк скрыт камер комнат и занима дам свободн он №т игра WOW шутер смотр бокс рестлинг проч спортивн хрен копа какомт полураздолбан комп прячет прихож но сам ппц пришл мужик я подума ппц изменя оказа друз лучш он покер поигра вып пив обсуд личн разошл я кстат слов фапабельн мальчик вдул и сиж противн так впечатлен встреча мужик тошн аж пмп сдела,-2317
я полненьк да полненьк жирн над смея садик школ вуз ну собра сил реш похудет за месяц скинул кгдиет спорт ход тренажерк появ подтянут поп красив животик все восхища мужчин дела комплимент ухажива я стал счастлив а пошл планов осмотр врач и оказа редк болезн набра вес срочн ну здоров дорож поправля набра кг все отвернул мужчин ветр сдул опя одинок жирн лохушк килл ми плиз,4745
