main_words,stars
должн идт универ учеб родител симпт куртк мороз выуч поступл угроз помеш выпуск школ снят ,2591
удар губ синяк пьет происход сдал якоб остальн помога плак проч мысл поста разб слом ,2356
четк умерет хлеб издев привел просып урод таблетк когд жела брат съех уеха толк развел ,2930
смерт укол голодн легч трудн зуб собак сердц болел половин быстр стал тяжел понима прин ,1866
рубашк хозяйств пожар приход вынужд дива ночн нол сошл готовл телевизор постел влюбл готов блин ,2739
попрост девушк окончательн намек рестор компан жела вдво пойт встреча вуз полож кин улиц хват ,1326
экон жил мам жалк квартир сним невестк взнос скоп прежн увезл выплат уговарив свал ипотек ,2727
уступ чувств нежн ласк забыв поцел твар спас произошл появл чуд голос стреля призн некотор ,2533
испуг девушк бывш интересов неадекватн истеричн преслед сынок типичн неудачник потребов котор понра коллег выбр ,1413
имеют ссылк сном разрыв командировк жду нашел втор девочк бывш нача мечт страшн свадьб приход ,5085
сумк ключ прова плеч зашел непонятн дом паспорт замет пут пошел магазин полож забр дорог ,3909
догн добр парен встрет сраз парн девушк ,3146
либ деньг долг лежат задержив насчет рассчит сайт заказ оплат представл сдал небольш успел прихож ,2917
подхож отрез мам поговор дочер реш девушк случа разговор собр сторон попрос никт рассказ замуж ,2895
зада квартир хозя прекрасн компа переех отношен жадн прилетел объективн аренд разруг отказ хозяйк преподавател ,3353
впуст потрач отуч параллельн ночн поиск берут платн съемн дипл уеха вуз специальн вернут возможн ,3055
назв разговарив расст переех телефон сильн котор люб парн девушк друг ним мо ,-503
дневник измен вед поэт попрос друг личн парн встреч люб ,1054
смысл отказа жизн знал понемног куск вытаскив лучш нач залез подруг радов близк снач любв ,1983
пятниц человек прин понедельник съезд хорош сообщ увол черт сред обещ найт нашел работ дач ,234
скрыт обсуд изменя спортивн скайп камер дам тошн разошл хрен характер ноутбук придум включ несмотр ,-2317
набр дорож мужчин одинок скинул жирн килл плиз болезн счастлив редк кг вуз осмотр спорт ,4745
покрыв дочк четырех путевк долгожд отъезд пах отдых стен зарабатыв отпуск жен сиж итог вол ,1565
коляск инвалидн навещ ощущ симпатичн надежд окн однажд плачет сложн свет продолж случайн единств всяк ,4392
карточк потащ вытаскив мобильник телефон дернул подошел круг мелоч резк знают захотел успел поздн жалк ,2591
интернет жит родител трехкомнатн вывод мебел провест горяч горд центр удобн улыб жив дают хочет ,2873
кастрюл ручк смотрет врод дне жил ног рук ,2631
противн услыш правд единств стольк кажд пис люб мам ,-979
айфон пакет трех метр коп хотел заб ,2797
дух дум девк ревнов секунд провер встреча заста обычн ненавиж говор сдела парен нрав поя ,-500
помир обсужд наоборот раньш знают буквальн разговарив друж прич телефон рассказ когд сво друг бо ,-575
выходн дочк провест зач уезж якоб сидет недел отпуск брак цел иск вышл дур собир ,586
платн прошел сдал нелеп занов конкурс обследова клиник бюджет экз крут пойт арм вуз хуж ,1967
попрос приезж вагон вокза встрет недолг позж выхож ожид отказа соглас мальчик возвращ парен бабушк ,-1406
жела секс знал смог предательств существ справк принос забеременет выясн внутр довер относ принес мед ,1549
умерет жалк поздн вуз правд подруг оправдыв жалост пьянк умрет ровесник больниц тепер кром подружк ,1908
разговор мам наверняк мужчин семейн ухажив плачет практическ правд идиот повод попыт спуст минут гост ,2770
довер подруг услыш рассказыв вопрос обща знает поч наз страшн познак лучш друг полгод вообщ ,856
целов завтр верхн свадьб губ помога сдела родственник врод глаз утр сво пристрел мог общ ,3867
догн новеньк сзад мобильн сердц перест попрос дур отд вчер когд сво пар ,2352
парен велосипед изображ проех навстреч рул велик смешн вырв отпуст идет хрен компан рук плюс ,2674
приедет ошибк пожен ненавиж отпра минут должн лучш уех подруг хочет вмест дел мо ,4236
гордост полугод предательств пересп периодическ нож прощ любл зп уеха сердц спрос быстр обратн нашел ,3030
отдельн врем турц подожд скайп взаимн сильн протяж легч месяц инет звонок цвет предложен уйт ,3216
температур дыш сложн врач адск порв побеж созна зуб отпра лев потер отказ приход утр ,3424
сплю прорв асфальт греба жар жирн балкон плюс выйт закр красн даж ужасн улиц сиж ,3979
бес слюн сахар спальн средств терпет улыб подел заход бел ладн молч безумн сним здор ,677
